"tweetId","tweet"
"AViPYDMkGInsIYxeOJQb","Wells Fargo scandal prompts Los Angeles to crack down on banks that do business with city #LosAngeles #LA #LAX https://t.co/FaFyGFVKG5"
"AViPYDMkGInsIYxeOJQe","Im getting more calls from @WellsFargo now than when I should have a month ago. The computer can dial out but humans cant."
"AViPYDMkGInsIYxeOJQf","News reports say it could be an air quality issue in Wells Fargo Bldg. #LNK https://t.co/bF79opWiS3"
"AViPYDMkGInsIYxeOJQh","TIX🌟https://t.co/Gp7akdgKQk🌟4️⃣- Saint Pablo #KanyeWest Tour, Wells Fargo Center, 12/13/16 https://t.co/k6EfYl4WYt https://t.co/3fUBakRRB7"
"AViPYDMkGInsIYxeOJQj","@Ask_WellsFargo what?"
"AViPYC5-GInsIYxeOJQU","@Ask_WellsFargo @SouthernXBell 😂😂😂😂😂😂😂"
"AViPYC5-GInsIYxeOJQV","#Stockton standing w #standingrock creating more awareness 4 Bank of America and Wells Fargo on notice 2 stop fundi… https://t.co/c1eBlHWkK4"
"AViPSAhTGInsIYxeOJPw","More equip sent to Wells Fargo Bldg in downtown Lincoln NE #LNK https://t.co/8wfaauq7K8"
"AViPTZZkGInsIYxeOJQC","@WellsFargo 1st u steal, then return some without adequate documentation after 5 yrs. Yet shamefully u don't return the entire amount. Wow!"
"AViPTDrGGInsIYxeOJP9",".@claudia_stauber @saneprogressive #VeganThanksgiving🦃 &amp; #BoycottingGreed too 👊🏼@WellsFargo  @BankofAmerica @Walmart @HomeDepot @XFINITY 🚫📺"
"AViPTSWWGInsIYxeOJQB","@shawneebadger @WellsFargo where do you plan on banking?"
"AViPRKRuGInsIYxeOJO2","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/oWiEacuEbq"
"AViPS9-dGInsIYxeOJP7","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/FwFg4pZjjB"
"AViPaEoMGInsIYxeOJQ4","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/4acn0xHGE0 https://t.co/jy1Md8zQIx"
"AViPaEoMGInsIYxeOJQ6","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/pkDTC7vJNZ https://t.co/NO5RL047lH"
"AViPaEx1GInsIYxeOJRB","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/8CXU0P5scW https://t.co/DsP4fgwOMJ"
"AViPaEx1GInsIYxeOJRF","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions:… https://t.co/oikIKarqj3 #businessNews… https://t.co/IfCLaBtjvV"
"AViPbJrtGInsIYxeOJR0",".@theEcoNEST Want to get your #money out of #banks funding #StandingRock?  #WellsFargo #BofA #CitiBank and 14... https://t.co/9QczUsOn4h"
"AViPbJrtGInsIYxeOJR9","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/XjeH28bGjl #business #news"
"AViPbJrtGInsIYxeOJR_","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/jHltaRmVz0"
"AViPbJrtGInsIYxeOJSE","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/IuLNPAHnFQ"
"AViPbJruGInsIYxeOJSG","In wake of Wells Fargo, US regulator mulls tougher bank sanctions https://t.co/KAJJLP0hSH https://t.co/7NnRG5SQfb"
"AViPaEW4GInsIYxeOJQq","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/ZqLU0NUpe4"
"AViPaEW4GInsIYxeOJQr","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/dy5QUitBSL #biz https://t.co/U7P2Zvvsly"
"AViPaEW4GInsIYxeOJQu","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/Uti1eQO5e4 https://t.co/1afPm9iD1K"
"AViPaKyaGInsIYxeOJRw","#Banks &amp; #Wallstreet #fucking people : In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/7MzsUTvFrN"
"AViPaFcLGInsIYxeOJRi","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/BgfWyEM0Oh"
"AViPaFcLGInsIYxeOJRm","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/2TTKwD01bb ^Re"
"AViPaFcLGInsIYxeOJRq","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/7GbyBUAeRK"
"AViPaFcLGInsIYxeOJRu","Adios @WellsFargo ! After 15+ yrs I closed my accts. Your investments in fossil fuels = #CrimesAgainstHumanity. #NoDapl #WaterIsLife"
"AViPaFOsGInsIYxeOJRW","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/zAm2dLj3xO"
"AViPaFOsGInsIYxeOJRY","#trading #forex #binaryoptions In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions - https://t.co/OqakZG175y"
"AViPaFOsGInsIYxeOJRZ","In wake of Wells Fargo, 🇺🇸 U.S. regulator mulls tougher bank sanctions https://t.co/SZj0sGPe2v INVESTINGcom"
"AViPaE_0GInsIYxeOJRJ","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/9nf9fOu7Op"
"AViPaE_0GInsIYxeOJRK","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/8bwbXwGTnR WASHINGTON (Reuters) - A U.S. banking"
"AViPaKD8GInsIYxeOJRv","@janeosanders @MarkRuffalo ONLY IF the ENTIRE country takes their $$ out of BIG banks such as Wells Fargo's, bank of America,chase. 👍🏻🇺🇸🇺🇸🇺🇸"
"AViPbOQ3GInsIYxeOJSJ","I hate Wells Fargo 🙄"
"AViRnLtTM5JkN4o-tQeu","Consumer confidence to boost #HolidayShopping this year; @WellsFargo economists predict 3.8% sales growth.… https://t.co/O2B37wxSvx"
"AViRj3oOM5JkN4o-tQda","📌.@CNN is responsible for these abuses if #WellsFargo is their sponsor, while financing the #DAPL #nodapl  Video:… https://t.co/gUeIXcRIEI"
"AViRpNx9M5JkN4o-tQex","Lily Allen Performs at the Wells Fargo Center in Philadelphia - August 2015 https://t.co/tflnE0BmCV #LilyAllen"
"AViRpNx-M5JkN4o-tQey","@scullness @Ask_WellsFargo @WellsFargo well the email says to protect my account but i never saw any weird purchases myself so idk!"
"AViRpNx-M5JkN4o-tQe4","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/sTATshIV7X"
"AViRpNx-M5JkN4o-tQe5","Person on @WellsFargo basically just told me that their mobile banking app shows false balances, and it's not reliable 😂"
"AViRpNx-M5JkN4o-tQe9","Ima just have to switch banks @WellsFargo. What kind of company has a unreliable app and then admits to it"
"AViRpNx-M5JkN4o-tQe_","When you trying to deposit your check but the wellsfargo app is down 👎🏽😩"
"AViRpNx-M5JkN4o-tQfD","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/iIw5pWiaSJ"
"AViRj2gWM5JkN4o-tQdZ","Here’s how bank regulators may harden sanctions after Wells Fargo sca... https://t.co/VtQbQ8iLHh via @AdellaPasos https://t.co/6pyTLLsEXI"
"AViRjyzUM5JkN4o-tQdX","@steele_wheels play one every other year like Big 4 set up but on home courts. Wells Fargo bad venue no energy anyway for the games"
"AViRl8-yM5JkN4o-tQeg","Tonight from $9 - @memgrizz at @Sixers  #SeatGeek https://t.co/8NO6iqCgmo"
"AViRqjFdM5JkN4o-tQfO","@Ask_WellsFargo I need to speak to someone NOW. At your home office, corporate, I don't care at this point."
"AViR1FRjQz9XSObiXh6S","already had a serious talk with @WellsFargo  about the amount of money I'm about to throw down on black friday&amp;cyber monday, so no problems!"
"AViR1FoTQz9XSObiXh6T","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/AipquictLE"
"AViR1Gh4Qz9XSObiXh6U","@Ask_WellsFargo I just called. I think I talked to a lady named Linda. She helped me. I paid it off in two payments. It's done. Thanks"
"AViR1wofQz9XSObiXh7R","When you hear @WellsFargo is being investigated for consumer violations... Lol what took them so long?"
"AViPRcLDGInsIYxeOJO4","It's amazing what we can accomplish when we work  together - incredible experience @We_Share_Solar @ycdsb https://t.co/Wxvcf57RMo"
"AViPSYEWGInsIYxeOJP1","U.S. authorities are taking a tougher stance on scandal-ridden Wells Fargo https://t.co/DHrrItWpiH https://t.co/K8afZnZXYT"
"AViPQ8Q4GInsIYxeOJO0","Lincoln FD taking the alarm at Wells Fargo Bldg seriously #LNK https://t.co/Q7qKI5faMN"
"AViPTPZfGInsIYxeOJQA","@MattMEgan5  #WellsFargo #WarrenBuffett #BerkShireHathaway to do #Illegal #Foreclosure #Disabled #Veteran #Home paid off 2007! #Nazis $WFC"
"AViPRpRoGInsIYxeOJO5","@eclecticbrotha just reminded me of the infamous poverty tour, sponsored by Wells Fargo"
"AViPSrBCGInsIYxeOJP5","@Naper_Design Reread my tweet. The MLS did not create fake accounts. I'm asking the MLS to do the right thing and drop Wells Fargo."
"AViPSVjGGInsIYxeOJP0","Who Is Funding the Dakota Access Pipeline? Bank of America, HSBC, UBS, Goldman Sachs, Wells Fargo https://t.co/RuWcOHy5g3 via @democracynow"
"AViPRtpkGInsIYxeOJPu","5)  been running the books on the project,we have Wells Fargo, BNP Paribas, SunTrust, Royal Bank of Scotland, Bank of Tokyo-Mitsubishi,"
"AViPYDMkGInsIYxeOJQd","Natural News announc economic boycott of CNN corporate sponsors including GEICO, WellsFargo, Sprint, Dodge and&amp;orate_sponsors_fake_news.html"
"AViPYDMkGInsIYxeOJQk","@WellsFargo @WellsFargoNews @VICE @VICELAND @vicenews #NoDAPL #StandingwithStandingRock https://t.co/n37Jfiy7Fr"
"AViPaFcLGInsIYxeOJRg","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/YYawBjkf1i"
"AViPaFcLGInsIYxeOJRh","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/mag8ljjqZs"
"AViPaFcLGInsIYxeOJRj","#Setting4Success In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions #News #smallbusiness #entrepreneur"
"AViPaFcLGInsIYxeOJRk","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/vPOV4W8bMc"
"AViPaFcLGInsIYxeOJRl","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/P4cOy5lWzl #Forex #News #BreakingNews"
"AViPaFcLGInsIYxeOJRr","Wells Fargo's 'golden parachutes' shackled - Tribune-Review https://t.co/0ygdGYJubl"
"AViPaFcLGInsIYxeOJRt","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions #stocks #fx https://t.co/ZaUJwoonXq"
"AViPaEoMGInsIYxeOJQ_","#stock In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions: WASHINGTON, Nov 22 (Reuters) - A U.S.… https://t.co/OGauvUftp7"
"AViPaEoMGInsIYxeOJRA","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/edJudOnVxL https://t.co/MyJL0YJg4D"
"AViPaEx1GInsIYxeOJRE","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/EIpQw0ZQ14 https://t.co/aiAiernUNB"
"AViPaEx1GInsIYxeOJRG","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/q58gR7rQno https://t.co/dY4d4Liqvn"
"AViPaFOsGInsIYxeOJRe","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/ukWTVhVqyv #news #USA #world https://t.co/5QN89jTUfG"
"AViPbJrtGInsIYxeOJR2","#news #In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions #business #fdlx"
"AViPbJrtGInsIYxeOJR8","Business: In wake of Wells Fargo, US regulator mulls tougher bank sanctions - Reuters https://t.co/apEQZeKZlX"
"AViPbJrtGInsIYxeOJSB","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/Wf9dhFklkk"
"AViPaEW4GInsIYxeOJQn","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions: WASHINGTON (Reuters) - A U.S.… https://t.co/2rD3qYLdlK #businessNews"
"AViPU7lHGInsIYxeOJQP","@Kerstin2199 yes it is!! There comin to Wells Fargo in march if ya didn't know 😍"
"AViPaE_0GInsIYxeOJRN","#Business | In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions #RTGFinance"
"AViPTv-SGInsIYxeOJQG","You look like Wells Fargo"
"AViRpNx9M5JkN4o-tQew","If you're looking for a heartless company to screw you over please go to your nearest @WellsFargo. we'll freeze this winter. Thanks."
"AViRpNx-M5JkN4o-tQe0","Wells Fargo analyst Tim Evans downgraded PAREXEL $PRXL to “market perform” from “outperform”,"
"AViRpNx-M5JkN4o-tQe2","@_omgigi_ @Ask_WellsFargo @WellsFargo yeah i got me new one last week but my old one did too"
"AViRpNx-M5JkN4o-tQe6","#GrabYourWallet https://t.co/zODW3Orfsj"
"AViRjSWuGInsIYxeOJTc","Bigtime from our boy @ZacMacMath #HeATerp https://t.co/6XP8GK3Sla"
"AViRnGK6M5JkN4o-tQen","Wells Fargo scandal prompts Los Angeles to crack down on banks....find out more here https://t.co/Iv94pLHmMg"
"AViRnGK6M5JkN4o-tQeo","Want to work at Wells Fargo? We're #hiring in #FlowerMound, TX! Click for details: https://t.co/GB4OHrSbFg #Job #Banking #Veterans #Jobs"
"AViRnGK6M5JkN4o-tQep","@WellsFargo @BankofAmerica are equally 🚮Chase is the best bank by a long shot."
"AViRqnxaM5JkN4o-tQfP","Love having @WellsFargo team members from far away visit us. #awesometeam @wilderabbit @mpalominoWF @GabyLambertusWF https://t.co/4iJI4pDiLX"
"AViRllvDM5JkN4o-tQea","Wells Fargo Multi-Sector Income Fund Announces Tender Offer and Managed Distribution Plan https://t.co/CLMs5K7vG5 https://t.co/9XrsCGc43x"
"AViRlr4PM5JkN4o-tQec","@WellsFargo won't close 11/28. ""End of next week at the earliest"" they locked for 60 days because they knew they need 60 days. #WellsFargo"
"AViRj534M5JkN4o-tQdb","#ImThankfulFor @WellsFargo routing my paycheck a day early!"
"AViR05uEQz9XSObiXh6P","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/VHotFGit5g"
"AViRjWcyGInsIYxeOJTd","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/tsw7YEdY8u"
"AViR1LNRQz9XSObiXh6Y","@Ask_WellsFargo what's the easiest way to get all my money out of your terrible bank? Not gonna fund poisoning a water supply"
"AViR1yPTQz9XSObiXh7S","Wells Fargo &amp; Co. has upgraded the stock of Parexel International Corp. (NASDAQ:PRXL) https://t.co/AUZQ8V8OEs $PRXL"
"AViR2Z1YQz9XSObiXh7X","Wells Fargo's internal investigation will last until spring (Video) https://t.co/NRcIEbo5V8 #Orlando"
"AViPYDMkGInsIYxeOJQZ","@ivan20992 you have bank of america wey? Cause I work at the mchenry one, I dont think with wells fargo you can."
"AViPYDMkGInsIYxeOJQa","@WellsFargo @WellsFargoNews This is because of your $467million investment into the DAPLof #NoDAPL @VICE @vicenews… https://t.co/m9iWuyM5lg"
"AViPYDMkGInsIYxeOJQi","tryna flex like gucci with $30 bucks in my Wells Fargo account"
"AViPSljMGInsIYxeOJP2","@Naper_Design Reread my tweet. The MLS did not create fake accounts. I'm asking the MLS to do the right thing and drip Wells Fargo."
"AViPRL8ZGInsIYxeOJO3","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/27AxkXQkEt"
"AViPTB3FGInsIYxeOJP8","Boa, Wells Fargo , chase, suntrust bank hit my dm's"
"AViPTu2XGInsIYxeOJQF","Wells Fargo got me fucked tf up rn"
"AViPSoU3GInsIYxeOJP4","I just checked in at Wells Fargo with #mPLUSPlaces Download today!  https://t.co/Hq7kG6Yfgc"
"AViPR2OTGInsIYxeOJPv","Does anyone knows if Wells Fargo is closed on Friday?"
"AViPbJrtGInsIYxeOJRy","Sissy in Action!!! @ Wells Fargo, McKinley Hill, Taguig City https://t.co/dahqsoNUXD"
"AViPbJrtGInsIYxeOJRz","WORLD | In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions | Read: https://t.co/4U9857u2CO via Yahoo!© News"
"AViPbJrtGInsIYxeOJR4","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/DAkQkqnEYX"
"AViPbJrtGInsIYxeOJR6","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/npXlVwYGKd #pymes #business #negocios"
"AViPbJrtGInsIYxeOJR7","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/eLRK3fQclY"
"AViPbJruGInsIYxeOJSH","In wake of Wells Fargo, US regulator mulls tougher bank sanctions https://t.co/wE6fD2ot4C https://t.co/pEfMSfgyoy"
"AViPaEoMGInsIYxeOJQw","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/O049KCc0op"
"AViPaEoMGInsIYxeOJQx","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/Spr0dc950G https://t.co/2VSX1yO5hT"
"AViPaEoMGInsIYxeOJQ1","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/ScH5p5U5b1 https://t.co/302RCtkVEw"
"AViPaEoMGInsIYxeOJQ5","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/W0MsAOmzb8 twt247 https://t.co/H55CCc7vC0"
"AViPaEx1GInsIYxeOJRH","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/bBbGV2mrOa #businessNews (Reuters) https://t.co/DpCyJ3El70"
"AViRlMTkM5JkN4o-tQeX","Three Closed-End Funds Advised by Wells Fargo Funds Management Extend Share Repurchase Programs… https://t.co/g4NJGdoUWd"
"AViPaFOsGInsIYxeOJRX","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/n3EhxOHUiO"
"AViPaFOsGInsIYxeOJRa","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/zGhjl7ANXj #news #reuters"
"AViPaFOsGInsIYxeOJRb","In wake of Wells Fargo, U.S. regulator mulls tougher bank sanctions https://t.co/kzSBt9FPbJ"
"AViPaFOsGInsIYxeOJRc","'Wells Fargo: A Year in the Life': Kelly Bishop Talks Tackling Emily's Grief #fakeheadlinebot #learntocode #makeatwitterbot #javascript"
