Expected,Predicted,Content
COMPLAINT,COMPLAINT,waste of taking credit card with hdfc
COMPLAINT,COMPLAINT,got so many repeated calls from hdfc bank regarding credit card when i applied; verification completed and waiting for the card i got to see a disapproved status from your sitethings i am annoyed with i did not get any sms  call  email regarding the disapproval of credit card the reason for disapproval is not at all given (wondering why did they disapprove) time spent in this process is completely waste (stop giving repeated calls)i need to know why application has been disapproved worstbankever respectyourcustomer
COMPLAINT,COMPLAINT,worst customer service called ten times but my call was hung upevery time horrible service they over charge on your bills jass 
COMPLAINT,COMPLAINT,cheaters
COMPLAINT,COMPLAINT,rehbl= look into it asap and tell me why u stupids have deducted around  rupees for no reason from my account  an example of worst customer service i have ever seen pm me for further details
COMPLAINT,COMPLAINT,i think hdfc is not interested in doing business and sell credit cards
COMPLAINT,COMPLAINT,amir_hot@yahooca urgently need my money otherwise will move to consimer court will all documents
COMPLAINT,COMPLAINT,worst customer service i had ever seen in my life never ever take loan or any dealings today i went to close my loan and the staff in branch cochin banarjee road are like enemies they are seeing the customers by the grace of god now i dont have any dealings with this killing bank service charge and closure charges
COMPLAINT,MISCELLANEOUS,plzzz consider your customers like human beings only the mistake hdfc customers did is took finance
COMPLAINT,COMPLAINT,why this bank doesnt consider the time of customers almost  customers waiting and only one counter is open in cochin banarjee road branch
COMPLAINT,SUGGESTION,unorganized and unable to handle overseas account professionally and above all with new age technology they are still stuck with fillingposting form physically for every little thing where other banks have moved out of this old age methods
COMPLAINT,COMPLAINT,mera name dhiraj gupta  rs ke notes ki bhooth problem hai plz arrange karwaiye branch mai nahi milthye branch masoodpur mai pata kiya waha aa hi nahi rahye hai bhoot time se old ya new kaisa bhi nahi aa raha hai ji plz aap arrangement karwaiye old ya new kuch bhi or masoodpur branch mai bhijwaiye regards dhiraj gupta
COMPLAINT,COMPLAINT,please refer to this subject line (hbl= regarding deficiency in service and harassment) on june th  i mailed my grievance at support@hdfcbankcom which has not yet been resolved by you it is a disgrace to the claim of best customer service provider
COMPLAINT,COMPLAINT,i am ur payzapp customer last thursday i paid on bigbasket but didnt receive cashback of rs  registered mobile number 
COMPLAINT,COMPLAINT,dear team u would like to give feedback about your hdfc bank am have  hdfc bank account in faridabad january onward hdfc bank deduct  rs per months for maintenance charge and am mail hdfc customer support mail id but no any response after  days amgive reminder than am receive rply from me nilesh mr nilesh says this is non maintenance charge am give reply this maintenance charge why not deduct before january after am not received reply am requesting to hdfc team please refund my  months money * = and also revert on my mob 
COMPLAINT,COMPLAINT,sent mail to customerservicescards@hdfcbankcom and codecomplianceofficerretailassets@hdfcbankcom and posted here and tried sending many letters to you guys
COMPLAINT,COMPLAINT,i did wait for  days
COMPLAINT,COMPLAINT,my cradit card number is  xx xxxx  my payment due date was th of every month but now without informing me you have changed it th could you tell me the reason please  secondly my salary credited in my account between th th every month  suppose my salary comes on th than i would not be able to make the payment on th than who will be responsible for late payment charges i have not asked you to changed my payment due date than why have you done this also i have a jambo loan loan no  xx xxxx  you have done the same for this only  look i have no time to write a mail or comment on social media every time or day request you to kindly make may payment due date a before ( or  every month) otherwise i will not pay any late payment charges kindly do not make your customer mentally disturb vijay kumar 
COMPLAINT,COMPLAINT,why your bank representative making fool of your customers and y they r doing miss commitments with your customers i m really fedup with your services
COMPLAINT,SUGGESTION,why cant hdfc build a website that works  the login button dosent even show up due to the heavy graphics used all over the site  its such a basic thing and you cant get it right
COMPLAINT,COMPLAINT,your bank is worst customer service provider  i am sorry but have to use this platform to get the attention of your bank  being an nri i will never recommend your bank to anyone and rather ask my friends n relatives to go to other banks who care for their customers and want to grow their business
COMPLAINT,COMPLAINT,i have a hdfc bank jet priviledge platinum credit card (mastercard) it is clearly mentioned on hdfc bank website that this card provides lounge access at select airport lounges in india however at hyderabad airport lounge i was told that my card does not have lounge access since then i have been calling hdfc bank customer care and they are just fooling me by asking me to call jet airways master card get priority pass and what not when its written on the hdfc bank website that the card has lounge access then i dont understand why i am being denied entry over there can anyone please help me with this  
COMPLAINT,REQUEST,i have taken policies of hdfc now hdfc has forfited my premium due to non payment of premium for next yea
COMPLAINT,COMPLAINT,i have queries regarding credit card bill statement didnt get proper assistance from customer service i am planning to block my credit card and account too  its utterly disappointing
COMPLAINT,REQUEST,security compromised   someone called me yesterday saying that he accidentally transferred money from his account to my account can you transfer it back i told him to which account did you transferred the money and how did you manage to get my cell phone number he said he got my number from icici bank he said he will check and get back i checked and found the rs  has been made to my account from unknown account i wanted to transfer it back to himthe bigger question is how can anyone walk in to icici and get my contact details and make me calls on my registered mobile number
COMPLAINT,REQUEST,dear mr atmagreetings from icici bank we inform you that the request initiated for the cancellation of credit card account with service request number sr has not been processed as there is outstanding of rs  in your credit card account
COMPLAINT,COMPLAINT,i have applied for po posting in icici but i didnt recevie my login id and password kindly send it
COMPLAINT,COMPLAINT,i want to award icici bank for being d worst customer friendly award a bank which is never wrong only customers are wrong who employee never do wrong selling of credit cards but customer hears them wrong whose asstt manager at okhla branch communicates wrongs information branch managers accepts it but never takes action n neither refunds d wrong charged fee u call him he as assurances but no action n then u realise the customer was wrong issues priority pass which allows free access to airport lounges and they end up charging u n then again prove customer was wrong
COMPLAINT,COMPLAINT,your team dont have manners how to talk to a customer what ki d of relationship you are maintaining with customer if this is the way than please let me know the process how to close all relation with icici bank i dont want to continue with icici bank any more
COMPLAINT,COMPLAINT,pathetic they do not have branch contact numbers on their web sitesurprising the customer service does not have either
COMPLAINT,REQUEST,hi icici bank team i am trying to do icici bank transaction by debit card (bus reservation) but your servers are down please check as soon as possible 
COMPLAINT,COMPLAINT,i am still waiting for credit card i applied  days ago no any icici executive call me for update the status its very poor service
COMPLAINT,COMPLAINT,worst chat service ever  you guys promote using icici mobile app and there is chat option right there which is as worst as one cant expect first of all i complaint them for not getting credit card statement on my physical address then secondly i requested them to mail me my last  months credit card statement they said it will take around  hours at max to receive it ok thats fine then i ask them to give me the request number too in case i dont receive it so i should have something to track on but the person dont have request numberas he convinced me sir you will get it soon but nothing on my mail even after  hours now i am forced to call customer care and what they replied me sir your email id is not even updated in your credit card what the f**k i am thinking of closing my icici account as well as cancel my credit card now i am forced to move on to other bank
COMPLAINT,COMPLAINT,i was onfe an icici bank customer( i closed my account and all credit cards in  paid all dues and ended my relationship as my salary account was moved to citi bank and i dont need to maintain two accounts) from march  icici bank is sendingcredit card account statements saying that i need to pay  rs in  ( now  rs with late payment interest etc) contacted customer service twice they created service requests and nothing happend either my calls will be disconnected abruptly or placed in long hold dont know what to do so i am posting here
COMPLAINT,COMPLAINT,ya all gimmickry they wd apply charges for any transaction on other atms what if the nearest atm of indusind is not working and theres no other atm in kms  they dont bother unless u escalate they dont care they would swarmaround you the moment you visit a branch to upsell their products which you dont need they mean business no heart no empathy
COMPLAINT,COMPLAINT,worst onboarding experience i had with your bank applied for bank account two weeks back and receive the atm card today but the worst part is i have to wait for one more week to activate my netbanking account what a poor service your are providing icici and hdfc are rockstars and i am totally disappointed with your worst service
COMPLAINT,COMPLAINT,kotak mahindra bank ltdteam your netbanking is not working from past  days and am unbale to reach your tollfree number too whats happening  can you rectify this asap  lifes getting difficult with kotak bank suggest to improve your services and online sites
COMPLAINT,COMPLAINT,i someone has made a transaction in new york at us polo assn of rs using my credit card on  around  am and even no otp is received although the card is with me only and i never gone there i had already files a complaint regarding this with kotak my service request no is  sr how it is possible please look into the matter and initiate my refund
COMPLAINT,COMPLAINT,helloi am getting continuous call from one unknown lady of your departmentphone number  ten times &  two times she wascontinuously asking phone number of some person whose surname match tomy surname she was contacted to my office where i am working & alsotold me to she will contact to my wifes office tooshe was disturbing me without any reason of your bank i had all callrecords in my cell phone for the conversionshe was openly challenge me to go to police station so it is betteroption for me i will do the same with all communication
COMPLAINT,REQUEST,i am regularly getting message that i have  account with your bank ending with  and  with a negetive balance of  and  i had open only  account and after couple of months i have requested to close the account you guys have created  account and accumlating balance on that kindly reverse the entire money and close the account
COMPLAINT,COMPLAINT,state bank of indiaarya nagar gzb branch only  officials  remains absentgcc machines not working from months unhappy take some action
COMPLAINT,COMPLAINT,one of the worst service & response from honey park surat branch have been trying to change the mobile number for last  months submitted an application to their branch for mobile number change on  september  they said its done  even after several follow ups it was not done then i came to ahmedabad for work tried to change number online several times but its impossible to change as dont have the earlier number tried all the methods online but all failed so i again had to come from ahmedabad to surat to change number when i went there they( mr rathod & staff) said that they dont know about old applications & asked me to file a new application  i even showed them( mr rathod & staff) the mail but still they showed no interest in earlier application one lady even threatens to call police if i make any noise this was so frustrating that it was almost unbearable first they harass the customer & if the customer shows anger they threaten to call police so again submitted another request in last week of june at their branch they said its done when i came to home & checked online to my horror it wasnt done si i again took follow up the next day from mr rathod he said me to give miscall on a another number to activate the number i did the same but it was not for number activation but was for account balance check etc i told him the same he told me to change mobile number through online banking i tried & showed him that it was pending from their side i took follow ups after follow ups on whatsapp phoneetc i even told the branch manager(mr anil) about the same he simply told to wait & gave the phone to staff now even after  days of visitng them again to their branch & after  months of filing the st application for mobile number change my number is still not changed now they are saying to fill another application & send them the mail i have already done this & waiting for their response
COMPLAINT,COMPLAINT,never opt for yes bank services you vill be messed up when you are in emergency   
COMPLAINT,COMPLAINT,new website has no option to direct log in as a corporate client it keeps on showing new pages instead of directing to log in option there is no direct log in option for corporate client and its frustrating to see new information and waste of time
COMPLAINT,COMPLAINT,dear axis bank can you please let me know why you steal money from customers  you dont close the services that i dont want to use form last one year yes you read it right from last  year i am trying to close my axis bank demat account client id   i had applied in april  for closure but it didnt close and i applied again on th june  but money was deducted from account stating for charges on th june  and yet i dont know if the account is closed request you to please close the account and stop stealing
COMPLAINT,COMPLAINT,banks are the places where we save our money but private banks are the parasites they keep nibbling our money some or the other way jo tera hai wo mera hai or jo mera hai wo mera hi hai  never trust them
COMPLAINT,COMPLAINT,ive tried to open a bank account through the governments jan dhan yojana scheme its close to a month now and the representative whos handling my case is still stringing me along without any concrete timeline this is a waste of my time and efforti find it hard to believe that its taking a month to open an account ive tried opening an account at the crosspoint mall branch (opposite galleria market) in gurgaon is this the customer service you guys pride yourself on  i really thought axis had above average service  but looking at this long list of complaints on this post im keen on trying on another bank
COMPLAINT,COMPLAINT,such pathetic customer service i have been following up since last week for my cc bill and each time the customer care executive says he will send it in  mins and thats the end of it i have call back again to check on the statement i would like to cancel the card this is highly annoying
COMPLAINT,COMPLAINT,his is just start annoying customerswho pushed you upthe day they will come to know the fact as my incident sall you going to roll down like zipdoomalways rememberthe way you all indulged in pathetic wayisnt mrpkjha or mrravi srivastavareally you along with digvijay singhwhat did just only have to convey fact to the customers or publicquite enough to give break to name famegrowth n allits ashamed meanyways keep preaching by making fuss onlinewhirld already shaping big than will seewhats suggestion works best by making fool to consumersor being ownselves     
COMPLAINT,COMPLAINT,the customer care number  never connects after  trials from my registered mobile number i got the chance to speak with a phone banking officer who of course knows nothing to resolve my issues the other number  gets disconnected as soon as you dial it
COMPLAINT,COMPLAINT,n th january  my father md irshad alam went to axis bank atm raja bazar to withdraw rs from his salary savings account he withdrew rs and came out from the atm he got a message on his registered mobile number that an amount of rs  has been debited from your account at  he received another message at  that an amount of rs has been debited from your account however he did not perform any transaction we have reported this incident to the axis bank kankurgachi branch garia branch and amherst street police station but they are not at all taking any effective steps against this issue and simply wasting our time by telling that police will take care of these things this incident is happening on a regular basis at axis bank keshab chandra street raja bazar atm
COMPLIMENT,COMPLAINT,i could not stop myself from writing a few lines for this brilliant hdfc phone banker ms shivani the service that i got today is beyond my expectation shivani you are the future for your organization my request to the hdfc management is to encourage shivani she is your asset thank you shivani one more time keep up the good job
SUGGESTION,COMPLAINT,never ever go in for such cards as it takes away your liquidity and also you dont get the correct value carry cash
SUGGESTION,REQUEST,axis bank innovated new ideas thats good for progress on thoughts like but the our loan process is very slow and bored so please improve our loan process for new customersaxis bank
REQUEST,REQUEST,who can i create a account in your bank my pin number 
REQUEST,COMPLAINT,what kind of precious metals investments do you have
COMPLIMENT,MISCELLANEOUS,he milestone
COMPLAINT,COMPLAINT,no any rules manner not any guidelines no use of sop very very low standard of yes bank any one service is not good am request of all audience please do not open the account of yes ban
COMPLAINT,COMPLAINT,before we explore new web site please have the basics rectified ie indicate tds in monthly bank statement to avoid malpractice being adopted by yes bank staff in back end office
COMPLAINT,COMPLAINT,i have salary account in axis bankbut still axis bank are not issue credit card
COMPLAINT,COMPLAINT,hi axis bankyour customer care communication is very badi have axis bank credit cardi ask him about credit card billshe is phone line cut in half communicationand i am not happy
COMPLAINT,REQUEST,limited i mean only  free atm transactions per monthsbi a far better government banking service goind to deactivate my account soon
COMPLAINT,COMPLAINT,if you are in a hurry never ever never ever use sahakaranagar bangalore branchyra non stop complaints and yet no useplan to waste over an hour due to the branch manager & staff lethargy topped by their high handedness
COMPLAINT,COMPLAINT,what a foolish reason u guys are giving me nw   i was not contactable   i have already shared my convenient time as well as all the contact details to your concern teamim not yet clear how your promotionalloans team contact me easily and your credits card team couldnt   your team is not taking serious actions on customers needs or what   now i only need exact reason why my credit card gt disapproved  
COMPLAINT,COMPLAINT,for a simple query i have been communicating with axis bank credit card support team for last  months but the issue is not fixed later i contacted to nodal officer and they were more worst than support team i learned two thing one support team (as communicated with  executives) are unskilled illiterate lack of knowledge of products; two nodal team officer (as communicated with  person) the worst i dont believe they are iim alumuni i have doubt on recruitment agency (probably axis bank hr team) very sad news and very shame to higher authority
COMPLAINT,COMPLAINT,axis bank can you please make my internet banking on    i am trying to login as first time user  forget password both are not working for me i have sent many mails to you but there is not proper response and resolution for issue is
COMPLAINT,COMPLAINT,please do not use axis bank remittance service all their service is pathetic and they put the onus on customers to provide the details while customer service representative do not want to their job
COMPLAINT,COMPLAINT,horrible customer service something as simple as getting my bank statement printed out caused confusion at the bankno queueits like a fish market
COMPLAINT,COMPLAINT,very poor bank ever in my life the customer service is also for axis bank employes only never gives you assured answers i requested to the rbi and consumer forum to take a action against this bank
COMPLAINT,COMPLAINT,credit card using experience is very very bad   like a hell you guys are no more customers friendly bank anymore  
COMPLAINT,COMPLAINT,many time talk customer care many time email customer care but not supported my problem chip debit card payment not send international not transfer merchant account
COMPLAINT,COMPLAINT,i have very bad experience by the bank manager where i approach for a approved locker with locker id number thru mobile app manager suresh from hasthinapuram chennai india stating that he dont know he is the decision maker whether toprovide locker or not we have told its been already booked and hemalatha staff of the same branch we are processing other customer at that time u have applied rhruob app its error who is held responsible to resolve this bank or the stupid customer who is having account with ba k received reward by money by service
COMPLAINT,MISCELLANEOUS,processing is too late especially net banking is too slow
COMPLAINT,COMPLAINT,not sure how you got this award your customer service representative do not even understand simple english i posted a concern over priority banking and the representative shares the details of the mutual funds in your earlier posts you have mentioned please write an email to customerservice@axisbankcom if your resources do not even understand english how will they resolve our queries
COMPLAINT,COMPLAINT,worst bank with worst services i am using axis travel card i have used icici and citibank travel cards they are far better then axis axis bank travel card services are pathetic whenever you raise complaint they will revert back with standard emailwe will get back to you within  days they dont even care whether issue is urgent and after  days they will ask for some information and they counters starts again and they keep doing this until you stop chasing them and you will not any resolution hey axis here on fb post as well dont try same trick by posting reply like hi ajay please write to us at customerservice@axisbankcom if you really want to do something this my complaint reference number  and resolve it within hrs without any excuses
COMPLAINT,COMPLAINT,the worth service in the industry axis bankin bhubaneswar
SUGGESTION,MISCELLANEOUS,try to deposit it into my bank of america account only to realize that literally every atm in a  mile radius is out of service oh and mobile deposit too then id switch banks
COMPLAINT,COMPLAINT,i sorry to say that b of a can come up with thousands of excuses why they do what they want to to your account we know because we have been with them for over  years and this last year has been very bad that have a thousands and one excuses and it no good to talk to them they need to go back to true customer service when they were call the bank of italy
REQUEST,COMPLAINT,mobile banking is not easier than before when i cant update to the new version (my iphone  cant run ios ) the version i have worked just fine until the forced update came out
